"OBJECTID","Name","Yr_Final","Area_sqm","Measure.var","value","forest.yr","Area_ha","value.ha"
169,"La Bonanza",2006,1021846.6377002,"Forest2000",5661.20020884,2000,102.18466377002,0.566120020884
170,"Juan Tama",2003,4880898.113386,"Forest2000",905792.033414,2000,488.0898113386,90.5792033414
171,"El Rosarío, Bellavista Y Yukatán",2000,821817.56365,"Forest2000",122659.337858,2000,82.181756365,12.2659337858
172,"Caño Padilla",2000,726520.693468,"Forest2000",284947.077178,2000,72.6520693468,28.4947077178
173,"Kankuamo",2003,254751178.797449,"Forest2000",21232331.3833,2000,25475.1178797449,2123.23313833
178,"Pueblo Nuevo",2000,1821019.40051,"Forest2000",122659.337858,2000,182.101940051,12.2659337858
180,"San Antonio De Calarma",2000,3124982.515282,"Forest2000",259471.676239,2000,312.4982515282,25.9471676239
181,"Lomas De Hilarco",2000,4064741.74995,"Forest2000",0,2000,406.474174995,0
185,"Chidima Tolo",2001,41022000.2466012,"Forest2000",38943396.2366,2000,4102.20002466012,3894.33962366
191,"Puerto Chichiliano",2003,2716432.566878,"Forest2000",2413558.3557,2000,271.6432566878,241.35583557
197,"La Reforma",2001,1244520.5125816,"Forest2000",96240.4035503,2000,124.45205125816,9.62404035503
198,"Nam Misak",2006,5481928.8689,"Forest2000",2606039.1628,2000,548.19288689,260.60391628
200,"San Agustin",2001,1704021.26286,"Forest2000",0,2000,170.402126286,0
202,"Llano Buco Bukj Ukue",2005,4159095.08676,"Forest2000",2360720.48709,2000,415.909508676,236.072048709
204,"Una'apuchon",2000,3510887.66285,"Forest2000",0,2000,351.088766285,0
207,"Maiz Blanco",2006,295325.944228,"Forest2000",295325.944228,2000,29.5325944228,29.5325944228
210,"Planadas Telembí",2007,27207728.20367,"Forest2000",25671655.8804,2000,2720.772820367,2567.16558804
211,"Quebrada Grande",2006,5858398.682785,"Forest2000",5622515.34075,2000,585.8398682785,562.251534075
214,"Honda Río Guiza",2003,2957033.57575356,"Forest2000",2814560.03716,2000,295.703357575356,281.456003716
221,"Cocana",2003,1337930.31602,"Forest2000",0,2000,133.793031602,0
222,"Palermo",2001,1303019.5814049,"Forest2000",0,2000,130.30195814049,0
223,"Mesa De Ortega",2000,4425171.496578,"Forest2000",0,2000,442.5171496578,0
224,"Natacoy Pijao",2003,1597401.99226,"Forest2000",105675.737232,2000,159.740199226,10.5675737232
225,"Diamante",2000,2183336.21388,"Forest2000",64160.2690335,2000,218.333621388,6.41602690335
226,"Olirco",2001,2304108.485,"Forest2000",14153.0005221,2000,230.4108485,1.41530005221
227,"La Flecha Altozano",2001,2849470.7717872,"Forest2000",0,2000,284.94707717872,0
